pm25,pm10,o3,no2,so2
8.15,99.63,7.79,7.2,0.0
6.55,103.24,7.07,7.32,0.0
10.45,105.75,9.63,7.12,4.98
11.54,112.08,26.66,7.26,1.3
8.9,117.49,21.41,7.26,0.0
9.95,116.91,13.07,7.34,0.0
9.27,104.2,7.76,7.28,0.0
7.84,94.37,18.71,7.21,0.0
7.11,86.87,8.32,7.08,2.06
6.01,85.32,8.88,7.29,0.5
4.85,88.3,8.26,7.4,0.0
3.68,86.61,10.87,7.16,0.0
3.6,84.46,27.96,7.33,0.0
3.95,88.49,33.27,7.18,0.0
5.98,91.11,9.7,6.98,3.39
6.68,93.65,12.3,7.02,3.27
5.96,96.72,10.13,6.75,5.16
5.6,101.49,17.55,6.98,0.0
6.08,109.81,7.73,7.08,0.0
6.49,122.65,7.58,7.11,2.3
6.46,133.58,9.24,7.17,2.57
5.25,142.98,10.53,6.89,3.31
4.19,142.51,6.42,6.94,2.18
3.57,145.51,10.64,7.12,0.0
9.18,147.75,24.22,7.2,0.0
14.95,129.57,5.73,7.06,2.86
12.01,112.28,11.08,7.07,0.0
10.23,102.61,30.41,6.97,0.0
8.68,93.47,7.77,6.89,4.38
6.7,84.42,13.24,7.04,5.17
5.76,73.59,8.5,7.13,3.54
5.05,65.61,4.68,7.09,2.53
4.79,62.91,12.22,7.03,0.0
4.67,59.35,29.36,7.14,0.0
4.59,70.68,7.4,6.97,4.22
6.17,84.11,13.24,6.8,7.06
11.16,81.63,14.74,6.6,12.22
11.93,80.16,19.85,6.55,9.66
9.16,86.02,18.87,6.67,0.0
6.85,104.59,19.07,6.84,0.0
4.99,133.27,14.52,6.71,5.73
5.15,153.27,17.79,6.65,9.02
6.77,156.26,13.46,6.7,12.66
9.5,157.89,17.98,6.84,9.87
10.06,159.15,16.45,6.97,0.0
9.56,161.42,11.27,7.06,0.0
9.28,166.08,10.05,6.74,6.04
8.28,161.49,23.15,6.7,7.01
9.67,165.09,12.93,6.6,10.45
12.3,169.11,13.62,6.57,8.17
14.77,165.05,18.86,7.01,0.0
13.88,166.59,11.4,6.84,0.0
8.29,72.58,8.85,6.53,17.54
7.38,65.59,8.77,6.61,16.92
6.11,54.41,6.84,6.57,4.52
4.75,57.51,18.46,6.17,5.52
4.78,53.42,14.77,6.46,6.63
5.56,47.84,18.59,6.39,9.13
6.39,40.31,12.39,6.47,1.43
7.11,32.08,7.51,6.42,0.12
9.6,34.09,9.26,6.28,1.14
9.32,36.64,11.89,6.43,4.82
10.67,49.8,16.87,6.42,5.78
11.08,63.84,16.58,6.32,9.76
9.51,72.16,9.0,6.71,1.28
9.19,79.91,23.06,6.64,0.27
11.16,84.84,19.17,6.19,3.6
11.75,77.75,20.7,6.14,8.34
10.74,69.64,19.54,6.25,10.01
8.73,63.64,20.61,5.7,16.32
7.9,62.2,21.22,6.24,14.55
7.72,61.09,10.71,6.4,1.84
8.63,57.36,11.35,6.18,4.22
9.24,57.88,15.6,6.31,6.98
8.69,56.96,14.49,6.24,7.18
7.29,57.46,22.36,6.14,10.01
6.06,48.26,12.05,6.52,1.94
5.95,39.92,6.46,6.58,0.26
12.45,38.71,5.17,6.4,3.49
14.85,33.93,15.87,6.2,6.12
12.67,31.42,13.25,6.13,8.18
11.4,33.61,23.05,6.03,11.38
9.41,34.51,11.72,6.38,2.67
7.55,37.09,9.12,6.44,0.68
10.64,42.02,10.85,6.3,1.78
11.72,43.86,7.6,6.29,5.15
9.79,50.65,13.53,6.39,7.08
9.6,62.37,18.85,6.22,11.22
8.47,71.27,10.82,6.47,4.43
7.56,81.69,32.49,6.51,1.42
13.49,84.21,23.4,6.19,7.86
15.11,75.93,32.78,6.05,12.23
12.14,68.26,40.32,6.14,8.58
10.41,57.53,41.46,5.66,19.13
8.36,54.05,42.59,5.93,26.46
6.32,53.88,21.27,5.94,15.23
7.56,52.52,15.26,6.12,8.99
8.03,52.46,28.92,6.27,10.45
6.71,55.03,16.95,6.2,9.55
6.28,52.94,19.21,5.99,14.34
6.45,55.67,23.57,6.38,13.02
5.66,58.88,13.76,6.49,1.54
7.79,44.57,23.61,6.64,4.91
8.54,68.73,13.25,6.71,0.44
7.55,62.87,25.45,6.71,0.0
6.9,67.27,14.7,6.32,2.54
6.39,61.01,20.57,6.23,11.94
6.33,59.15,23.25,6.18,13.61
6.02,60.35,18.91,5.97,15.59
5.19,61.82,16.96,5.76,24.58
5.22,58.29,18.75,6.06,17.55
6.02,59.07,17.77,6.4,13.72
7.5,61.51,29.58,6.25,15.96
7.85,57.13,24.52,6.48,5.2
6.5,54.0,12.51,6.38,0.72
5.76,57.9,12.42,6.43,2.32
6.04,63.44,13.65,6.08,9.59
5.3,64.97,11.65,6.38,2.19
5.45,61.69,22.87,6.28,2.16
5.44,56.18,10.34,6.75,0.0
4.45,49.45,5.32,6.74,0.0
5.05,42.41,9.14,6.45,0.0
5.25,36.53,18.51,6.43,0.0
4.63,36.02,11.9,6.4,0.0
8.18,35.3,20.74,6.43,0.48
9.54,31.84,16.67,6.75,0.0
8.14,30.78,34.39,6.77,0.0
7.58,28.81,13.46,6.6,0.0
6.8,31.07,22.64,6.39,0.0
6.9,39.92,13.56,6.35,0.01
7.27,42.14,21.42,6.27,0.72
6.99,43.45,13.75,6.37,0.0
6.74,44.72,17.37,6.41,0.0
7.21,45.88,17.0,6.37,0.0
7.68,51.68,8.72,6.5,0.0
11.15,51.4,9.06,6.43,0.0
11.29,47.68,9.08,6.19,0.0
9.09,46.31,16.9,6.7,0.0
7.64,45.64,13.04,6.77,0.0
6.14,44.59,10.41,6.69,0.0
7.43,14.71,9.91,6.73,0.11
7.65,16.69,8.72,7.03,0.01
7.74,16.21,8.19,6.77,0.03
7.45,21.36,7.78,6.57,1.79
6.23,27.73,21.59,6.91,0.06
5.62,23.77,14.48,6.77,0.0
5.32,30.06,10.69,6.59,0.05
5.99,32.75,4.26,6.88,0.57
9.98,36.77,0.14,6.75,0.74
10.7,44.63,6.7,6.86,1.76
9.4,42.48,16.59,7.2,0.0
8.93,36.71,8.21,7.26,0.0
8.79,36.64,7.7,7.0,0.11
8.71,35.93,10.25,6.9,1.59
8.1,31.28,4.36,7.05,0.16
8.25,32.21,8.43,6.75,0.09
7.95,30.56,15.88,7.05,0.0
6.93,26.02,9.52,7.06,0.0
8.73,22.41,4.08,7.04,0.0
9.96,20.45,2.07,6.99,1.16
8.16,19.42,1.32,7.17,0.05
7.12,20.58,9.57,7.19,0.01
6.63,22.12,14.29,7.33,0.0
6.87,25.35,10.88,7.46,0.0
9.36,30.49,12.84,7.22,0.0
10.49,32.34,10.92,7.06,1.22
9.29,38.07,14.18,6.91,5.05
10.75,35.89,18.53,6.66,10.63
10.63,30.66,17.3,6.97,2.37
8.86,27.11,22.99,7.03,0.0
7.72,27.74,8.87,6.97,0.05
7.08,32.84,6.32,6.98,2.04
5.79,40.94,7.87,6.93,4.6
6.29,50.23,15.83,6.95,8.14
6.4,51.09,21.33,7.33,1.16
6.39,53.25,11.7,7.56,0.0
6.2,57.72,6.34,7.31,0.0
4.87,69.51,6.29,7.1,1.0
9.08,91.49,1.9,7.17,3.17
12.01,135.79,7.2,6.98,5.41
10.08,173.12,22.21,7.2,0.61
10.09,180.34,11.46,7.32,0.0
10.46,170.05,7.08,7.12,0.0
9.94,160.63,7.11,7.02,0.97
9.68,167.69,3.57,7.0,1.5
8.64,175.59,6.64,7.02,4.71
9.3,166.19,21.42,7.47,0.54
12.43,144.08,14.96,7.56,0.0
12.5,116.7,8.67,7.34,0.11
9.79,81.73,11.74,7.03,4.24
9.0,56.88,12.63,6.73,10.37
8.79,52.47,17.9,6.87,13.83
8.63,45.4,17.0,6.97,6.59
7.81,40.71,27.77,7.14,0.09
6.72,44.03,17.18,6.95,1.46
6.23,46.19,8.88,6.62,7.18
9.76,47.66,10.15,6.7,11.29
10.77,50.97,16.83,6.58,12.98
8.73,56.3,14.53,7.32,3.94
8.37,64.54,25.12,7.25,0.0
7.19,70.54,19.33,7.2,0.02
6.91,68.81,3.04,7.02,2.94
6.36,65.81,17.97,7.06,4.84
5.55,61.58,19.06,6.71,7.34
5.24,60.29,5.97,6.93,1.46
5.04,50.06,4.67,7.45,0.0
4.2,37.96,10.96,7.09,0.0
3.43,37.14,14.9,7.25,0.0
3.48,43.91,7.89,7.19,0.04
4.37,51.31,9.47,6.94,2.72
5.42,52.37,16.5,7.19,0.67
6.16,45.7,12.17,7.45,0.0
6.72,39.2,11.68,7.24,0.0
6.39,42.65,14.14,7.05,0.96
8.72,52.38,14.47,6.87,5.09
10.36,50.2,16.48,6.44,10.64
9.77,42.48,25.35,6.44,19.54
8.75,37.84,17.73,6.63,7.58
7.13,29.43,21.5,6.59,2.48
6.98,24.88,10.84,6.55,6.4
7.39,26.1,9.46,6.71,7.23
6.99,38.58,20.08,6.67,8.75
6.73,51.95,11.68,7.08,1.9
6.43,64.5,18.24,7.24,0.0
6.67,71.69,21.76,7.09,0.0
6.84,81.3,4.24,6.93,0.09
6.7,80.76,11.2,6.79,5.11
5.79,69.73,17.3,6.79,6.71
4.66,66.97,15.96,7.1,1.05
5.14,58.5,12.74,7.32,0.0
4.91,54.64,9.21,7.16,0.0
4.14,56.75,8.89,7.15,0.0
4.97,59.38,0.17,7.14,0.0
