location_id,location_name,latitude,longitude,co,no2,o3,pm10,pm25,so2
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11727.7,7.2,7.79,99.63,8.15,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11396.4,7.32,7.07,103.24,6.55,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9756.8,7.12,9.63,105.75,10.45,4.98
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9187.5,7.26,26.66,112.08,11.54,1.3
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11022.7,7.26,21.41,117.49,8.9,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9663.5,7.34,13.07,116.91,9.95,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8120.1,7.28,7.76,104.2,9.27,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7606.0,7.21,18.71,94.37,7.84,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6983.0,7.08,8.32,86.87,7.11,2.06
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8930.4,7.29,8.88,85.32,6.01,0.5
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11513.5,7.4,8.26,88.3,4.85,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10051.8,7.16,10.87,86.61,3.68,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9493.1,7.33,27.96,84.46,3.6,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8874.5,7.18,33.27,88.49,3.95,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8392.9,6.98,9.7,91.11,5.98,3.39
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7281.7,7.02,12.3,93.65,6.68,3.27
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8663.1,6.75,10.13,96.72,5.96,5.16
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8583.7,6.98,17.55,101.49,5.6,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10174.2,7.08,7.73,109.81,6.08,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12452.5,7.11,7.58,122.65,6.49,2.3
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14323.8,7.17,9.24,133.58,6.46,2.57
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16072.2,6.89,10.53,142.98,5.25,3.31
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16508.4,6.94,6.42,142.51,4.19,2.18
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15796.4,7.12,10.64,145.51,3.57,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14960.4,7.2,24.22,147.75,9.18,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12508.2,7.06,5.73,129.57,14.95,2.86
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11658.1,7.07,11.08,112.28,12.01,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11116.2,6.97,30.41,102.61,10.23,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13804.9,6.89,7.77,93.47,8.68,4.38
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19549.2,7.04,13.24,84.42,6.7,5.17
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,22002.7,7.13,8.5,73.59,5.76,3.54
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20331.1,7.09,4.68,65.61,5.05,2.53
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17369.1,7.03,12.22,62.91,4.79,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15993.2,7.14,29.36,59.35,4.67,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16069.3,6.97,7.4,70.68,4.59,4.22
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14218.6,6.8,13.24,84.11,6.17,7.06
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12321.9,6.6,14.74,81.63,11.16,12.22
