location_id,location_name,latitude,longitude,co,no,no2,nox,o3,pm10,pm25,so2
32896,Riverside - Rubidoux,33.999449,-117.415831,1.15,,0.045,,0.002,,,0.002
32896,Riverside - Rubidoux,33.999449,-117.415831,0.73,,0.044,,0.005,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.41,,0.033,,0.014,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.24,,0.013,,0.041,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.33,,0.022,,0.033,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.37,,0.021,,0.031,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.43,,0.021,,0.025,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.43,,0.02,,0.022,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.84,,0.026,,0.012,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.71,,0.032,,0.004,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.6,,0.029,,0.003,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.7,,0.029,,0.001,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.69,,0.035,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.71,,0.038,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.51,,0.035,,0.008,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.98,,0.024,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.28,,0.021,,0.023,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,0.006,,0.036,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.17,,0.008,,0.036,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.19,,0.008,,0.038,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.18,,0.008,,0.038,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.17,,0.007,,0.04,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.25,,0.012,,0.034,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.59,,0.027,,0.019,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.73,,0.035,,0.008,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.96,,0.041,,0.002,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.9,,0.035,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,1.13,,0.034,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.73,,0.032,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.42,,0.027,,0.007,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,0.013,,0.024,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.21,,0.02,,0.016,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.2,,0.021,,0.015,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.28,,0.026,,0.007,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.3,,0.032,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.87,,0.036,,0.001,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.48,,0.045,,0.005,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.13,,0.008,,0.03,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.11,,0.005,,0.037,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.13,,0.006,,0.038,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.004,,0.042,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.12,,0.005,,0.036,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.11,,0.003,,0.036,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,,,0.005,,0.035,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.12,,0.005,,0.034,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.11,,0.004,,0.034,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.09,,0.004,,0.033,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.11,,0.005,,0.031,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.1,,0.005,,0.031,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.1,,0.005,,0.031,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.1,,0.005,,0.031,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.11,,0.008,,0.028,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.12,,0.008,,0.027,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.11,,0.008,,0.027,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.18,,0.023,,0.008,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.34,,0.025,,0.015,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.58,,0.032,,0.006,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.76,,0.032,,0.001,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.007,,0.033,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.39,,0.013,,0.024,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,,,0.025,,0.016,,,
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.008,,0.036,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.09,,0.003,,0.035,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,0.009,,0.029,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.19,,0.012,,0.026,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.005,,0.041,27.0,3.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.1,,0.002,,0.038,16.0,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.1,,0.003,,0.039,35.0,-1.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.13,,0.004,,0.043,17.0,0.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.004,,0.042,25.0,0.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.005,,0.04,28.0,-2.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.005,,0.04,27.0,-2.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.13,,0.005,,0.04,15.0,-1.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.006,,0.038,13.0,1.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.31,,0.024,,0.018,36.0,2.0,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.19,,0.014,,0.028,23.0,2.0,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.23,,0.024,,0.016,17.0,0.0,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.18,,0.016,,0.024,23.0,2.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.25,,0.026,,0.009,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.3,,0.031,,0.007,26.0,-1.0,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.63,,0.038,,0.007,,,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.17,,0.009,,0.049,17.0,7.0,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.1,,0.003,,0.043,,45.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.11,,0.003,,0.044,105.0,3.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,,,0.004,,0.046,42.0,4.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.17,,0.007,,0.04,20.0,-1.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.57,,0.026,,0.004,20.0,9.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.15,,,,,11.0,5.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.25,,0.012,,0.036,22.0,4.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,,,,17.0,4.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,0.006,,0.038,8.0,0.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.18,,0.007,,0.037,3.0,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.17,,0.005,,0.04,18.0,11.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,0.005,,0.039,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.25,,0.014,,0.032,40.0,26.0,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.2,,,,,31.0,13.0,0.001
32896,Riverside - Rubidoux,33.999449,-117.415831,0.13,,0.005,,0.033,9.0,0.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.12,,0.002,,0.042,,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.12,,0.003,,0.052,61.0,7.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.18,,0.007,,0.034,25.0,,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.14,,0.004,,0.055,36.0,9.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.15,,0.008,,0.036,31.0,9.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.12,,0.005,,0.038,29.0,8.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.12,,0.004,,0.038,27.0,10.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,0.005,,0.033,23.0,9.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.35,,0.023,,0.012,45.0,6.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.23,,0.014,,0.027,36.0,16.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.16,,0.007,,0.039,37.0,19.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.15,,0.005,,0.048,39.0,17.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.15,,0.004,,0.054,48.0,17.0,0.0
32896,Riverside - Rubidoux,33.999449,-117.415831,0.15,,0.004,,0.058,43.0,16.0,0.001
